time_hours,normalized_area
0.0,1.0
0.5,1.092008797653959
1.0,1.030425219941349
1.5,1.0370234604105573
2.0,1.062316715542522
2.5,1.1030058651026393
3.0,1.0846774193548387
3.5,1.156158357771261
4.0,1.1733870967741935
4.5,1.1942815249266863
5.0,1.1704545454545454
5.5,1.1370967741935485
6.0,1.1473607038123168
6.5,1.1719208211143695
7.0,1.185483870967742
7.5,1.2866568914956011
8.0,1.2085777126099706
8.5,1.247800586510264
9.0,1.2679618768328447
9.5,1.2928885630498534
10.0,1.2342375366568914
10.5,1.4651759530791788
11.0,1.4343841642228738
11.5,1.468108504398827
12.0,1.5080645161290323
12.5,1.5245601173020529
13.0,1.5348240469208212
13.5,1.564516129032258
14.0,1.5769794721407624
14.5,1.6030058651026393
15.0,1.6088709677419355
15.5,1.6931818181818181
16.0,1.7943548387096775
16.5,1.6946480938416422
17.0,1.8244134897360704
17.5,1.8339442815249267
18.0,1.9211876832844574
18.5,1.9230205278592376
19.0,1.9952346041055717
19.5,1.9930351906158357
20.0,2.0153958944281527
20.5,2.027126099706745
21.0,2.0113636363636362
21.5,2.0164956011730206
22.0,2.1733870967741935
22.5,2.213343108504399
23.0,2.1983137829912023
23.5,2.1634897360703813
24.0,2.1774193548387095
24.5,2.251099706744868
25.0,2.2646627565982405
25.5,2.251466275659824
26.0,2.413123167155425
26.5,2.5128299120234603
27.0,2.531158357771261
27.5,2.6708211143695015
28.0,2.626099706744868
28.5,2.6425953079178885
29.0,2.7664956011730206
29.5,2.7708944281524928
30.0,2.820381231671554
30.5,2.5538856304985336
31.0,2.622434017595308
31.5,2.67558651026393
32.0,2.8519061583577714
32.5,2.6436950146627565
33.0,2.7536656891495603
33.5,2.6737536656891496
34.0,2.774193548387097
34.5,2.9024926686217007
35.0,2.8673020527859236
35.5,2.7694281524926687
36.0,2.7969208211143695
36.5,2.9472140762463344
37.0,2.971041055718475
37.5,3.034090909090909
38.0,3.006964809384164
38.5,2.9197214076246336
39.0,2.9508797653958942
39.5,3.002565982404692
40.0,2.902126099706745
40.5,2.898826979472141
41.0,3.1015395894428153
41.5,3.095674486803519
42.0,3.149193548387097
42.5,3.155791788856305
43.0,3.1708211143695015
43.5,3.1392961876832843
44.0,3.167155425219941
44.5,3.059017595307918
45.0,3.0388563049853374
45.5,3.0131964809384164
46.0,3.082844574780059
46.5,2.8728005865102637
47.0,2.7609970674486806
47.5,2.7976539589442817
48.0,2.4934017595307916
48.5,2.402859237536657
49.0,2.3643695014662756
49.5,2.3658357771260996
