编号,面积,直径,偏心率,质心_y,质心_x
1,5999.0,87.39659048765141,0.696411027453502,46.31005167527921,273.0480080013335
2,1944.0,49.75115752387231,0.5616257665284474,30.926440329218106,147.32510288065845
3,585.0,27.29185104880338,0.7158416095216916,28.17948717948718,205.46666666666667
4,61.0,8.812923024107548,0.8905190064428122,38.83606557377049,316.6885245901639
5,2208.0,53.02181546095191,0.6403343189215513,84.9596920289855,82.2794384057971
6,400.0,22.56758334191025,0.7873340090947005,76.6,182.9725
7,2956.0,61.34896978953388,0.5813546667385828,101.39749661705007,148.36332882273342
8,1634.0,45.61220687598064,0.6683346812778631,116.18604651162791,198.38249694002448
9,292.0,19.281751659604673,0.6883840960743403,105.37328767123287,31.897260273972602
10,514.0,25.582125126616702,0.8326394536006431,122.44941634241245,7.307392996108949
11,1976.0,50.158960718865394,0.6765055631721801,152.19635627530366,252.19483805668017
12,302.0,19.60913925979463,0.8096575918336918,122.02649006622516,49.056291390728475
13,512.0,25.532305945691693,0.744548460510981,151.82421875,305.68359375
14,1007.0,35.80715321759479,0.5473180355363493,159.35551142005957,152.31976166832175
15,326.0,20.37341629633241,0.702171834547936,156.99693251533742,116.82515337423312
16,72.0,9.574614729634384,0.7663282223081408,153.76388888888889,181.08333333333334
17,1711.0,46.67454189429033,0.605976184793712,187.85447106954996,71.94506136762128
18,93.0,10.881694613449236,0.544247687612506,168.46236559139786,193.9784946236559
19,1923.0,49.48171020211122,0.846197787750942,203.03016120644827,197.0468018720749
20,437.0,23.58825303088947,0.8500511529275763,202.1395881006865,149.52402745995423
21,77.0,9.901487006738307,0.7358758061139817,191.2987012987013,10.87012987012987
22,58.0,8.593479713983122,0.3704494285288981,193.55172413793105,252.5
23,360.0,21.409489393833255,0.41489193877447283,204.31666666666666,308.9888888888889
24,109.0,11.780624362746345,0.8235157995382566,226.92660550458714,241.6422018348624
25,677.0,29.35954992478095,0.8226304518399616,236.1890694239291,272.3515509601182
26,822.0,32.35124272377035,0.32749698313449427,245.17518248175182,24.36009732360097
27,235.0,17.297725082009,0.41233572879169966,237.33617021276595,65.80425531914894
28,381.0,22.025082668269306,0.4175763721595197,244.66929133858267,308.79002624671915
29,84.0,10.341765891652821,0.7376737135998342,244.63095238095238,202.5595238095238
30,103.0,11.451797811161432,0.40179528058562586,251.58252427184465,239.95145631067962
31,68.0,9.304852983362556,0.33045028144745026,261.63235294117646,263.04411764705884
32,1377.0,41.87183842513151,0.7268095569646236,298.75744371822805,233.55628177196806
33,172.0,14.798554040663838,0.3620155807808848,285.59302325581393,265.79651162790697
34,1640.0,45.69587348290507,0.8159724359257241,304.4256097560976,49.34024390243903
35,86.0,10.464157913908982,0.6327763406921212,300.72093023255815,278.04651162790697
